일련번호,기관유형,지역크기,정원규모,어린이집 설립유형,국공립어린이집의 위탁 유형,"법인, 단체 등 어린이집의 법인체 유형",직장어린이집의 운영 형태,공공형·서울형 어린이집 여부,공공형·서울형 어린이집 선정 후 달라진 점,공공형·서울형 어린이집 인지 여부,공공형·서울형 어린이집 운영 의사 정도,공공형·서울형 어린이집 운영 원하는 이유,공공형·서울형 어린이집 운영 원하지 않는 이유,어린이집 대표자,대표자 간 관계,"원장과 대표자 동일 여부(국공립, 직장어린이집 제외)",대표자와 원장의 보육기관 동시 동시 운영 여부,대표자의 동시 운영 어린이집 수,원장의 동시 운영 어린이집 수,대표자의 동시 운영 유치원 수,원장의 동시 운영 유치원 수,대표자의 동시 운영 학원 수,원장의 동시 운영 학원 수,어린이집 운영의 가족 및 친인척 참여 여부,어린이집 운영의 가족 및 친인척 참여 업무 - 보육교사,어린이집 운영의 가족 및 친인척 참여 업무 - 운전기사,어린이집 운영의 가족 및 친인척 참여 업무 - 조리원,어린이집 운영의 가족 및 친인척 참여 업무 - 사무원,어린이집 운영의 가족 및 친인척 참여 업무 - 기타,어린이집 운영의 가족 및 친인척 참여 업무 - 기타항목,어린이집 구비 설비(복수응답1),어린이집 구비 설비(복수응답2),어린이집 구비 설비(복수응답3),어린이집 구비 설비(복수응답4),어린이집 구비 설비(복수응답5),어린이집 구비 설비(복수응답6),어린이집 구비 설비(복수응답7),어린이집 구비 설비(복수응답8),어린이집 구비 설비(복수응답9),어린이집 구비 설비(복수응답10),어린이집 구비 설비(복수응답11),어린이집 구비 설비(복수응답12),어린이집 구비 설비(복수응답13),어린이집 구비 설비(복수응답14),어린이집 구비 설비(복수응답15),어린이집 구비 설비(복수응답16),어린이집 구비 설비(복수응답17),어린이집 구비 설비(복수응답18),비상재해대비시설 설치 및 확보 여부(복수응답1),비상재해대비시설 설치 및 확보 여부(복수응답2),비상재해대비시설 설치 및 확보 여부(복수응답3),비상재해대비시설 설치 및 확보 여부(복수응답4),비상재해대비시설 설치 및 확보 여부(복수응답5),비상재해대비시설 설치 및 확보 여부(복수응답6),비상재해대비시설 설치 및 확보 여부(복수응답7),비상재해대비시설 설치 및 확보 여부(복수응답8),비상재해대비시설 설치 및 확보 여부(복수응답9),어린이집의 소유·임대 형태,어린이집 전세 금액,어린이집 전세 계약 기간,어린이집 전월세 및 월세 보증금/전세 금액,어린이집 전월세 및 월세 월지급액,어린이집 전월세 및 월세 계약 기간,어린이집 현재 부채 현황,어린이집 설치 시 권리금 지불 여부,어린이집 설치 시 권리금 지불 금액,지난 3년간 개보수 공사 여부,지난 3년간 개보수 공사 횟수,개보수 공사 이유(복수응답1),개보수 공사 이유(복수응답2),개보수 공사 이유(복수응답3),개보수 공사 이유(복수응답4),개보수 공사 이유(복수응답5),개보수 공사 이유(복수응답6),개보수 공사 시 정부지원금 지원 여부,개보수 공사 시 정부보증융자 이용 여부,개보수 공사 시 정부지원금 지원 금액,개보수 공사 시 정부보증융자 이용 금액,개보수 공사 시 자부담 금액,현재 시급한 개보수 공사(1순위),현재 시급한 개보수 공사(2순위),지난 3년간 증개축 공사 여부,지난 3년간 증개축 공사 횟수,증개축 공사 이유(복수응답1),증개축 공사 이유(복수응답2),증개축 공사 이유(복수응답3),증개축 공사 이유(복수응답4),증개축 공사 이유(복수응답5),증개축 공사 이유(복수응답6),증개축 공사 이유(복수응답7),증개축 공사 이유(복수응답8),증개축 공사 이유(복수응답9),증개축 공사 시 정부지원금 지원 여부,증개축 공사 시 정부보증융자 이용 여부,증개축 공사 시 정부지원금 지원 금액,증개축 공사 시 정부보증융자 이용 금액,증개축 공사 시 자부담 금액,장애아 위한 설비 마련 시 우선적으로 필요한 것(1순위),장애아 위한 설비 마련 시 우선적으로 필요한 것(2순위),어린이집 반 운영 개수,혼합연령반 운영 개수,어린이집 평일 개원 시간(시),어린이집 평일 개원 시간(분),어린이집 평일 폐원 시간(시),어린이집 평일 폐원 시간(분),토요보육 운영 여부,토요보육 운영 횟수,토요일 근무 보육교사,토요일 근무 보육교직원,시간제 일시보육반 운영 개수,시간제 일시보육반 이용 영유아 수,휴원 시 연간 휴원 일수,보육교직원 집중휴가 기간 운영 여부,보육교직원 집중휴가 기간 연간 운영 횟수,보육교직원 집중휴가 기간 연간 일수,반편성 예외 해당 영유아 여부,반편성 예외 해당 영유아 현황 - 상위반 편성,"반편성 예외 해당 영유아 현황 - 1,2월 생",반편성 예외 해당 영유아 현황 - 만 0세아,반편성 예외 해당 영유아 현황 - 하위반 편성,반편성 예외 해당 영유아 현황 - 취학유예,반편성 예외 해당 영유아 현황 - 장애아,반편성 예외 해당 영유아 현황 - 하위반 희망 아동,어린이집 운영 시 어려운 정도 - 원아모집,어린이집 운영 시 어려운 정도 - 안전,어린이집 운영 시 어려운 정도 - 급식 및 간식,어린이집 운영 시 어려운 정도 - 보육 프로그램,어린이집 운영 시 어려운 정도 - 시설설비,어린이집 운영 시 어려운 정도 - 재정,어린이집 운영 시 어려운 정도 - 행정,어린이집 운영 시 어려운 정도 - 보육교직원,어린이집 운영 시 어려운 정도 - 보호자,가장 시급한 개선사항,어린이집 운영 시 재정적 어려움 요인,어린이집 운영 시 가장 필요로 하는 지원(1순위),어린이집 운영 시 가장 필요로 하는 지원(2순위),보육교직원 유형별 채용 어려움 정도 - 보육교사,보육교직원 유형별 채용 어려움 정도 - 조리원,보육교직원 유형별 채용 어려움 정도 - 시간연장형 보육교사,보육교직원 유형별 채용 어려움 정도 - 영양사,보육교직원 유형별 채용 어려움 정도 - 간호사(간호조무사),보육교직원 유형별 채용 어려움 정도 - 장애아전담교사(특수교사 등),보육교직원 유형별 채용 어려움 정도 - 시간제보육교사,보육교직원 유형별 채용 어려움 정도 - 누리과정 보조교사,보육교직원 유형별 채용 어려움 정도 - 보조교사,보육교직원 유형별 채용 어려운 이유 - 보육교사,보육교직원 유형별 채용 어려운 이유 - 조리원,보육교직원 유형별 채용 어려운 이유 - 시간연장형 보육교사,보육교직원 유형별 채용 어려운 이유 - 영양사,보육교직원 유형별 채용 어려운 이유 - 간호사(간호조무사),보육교직원 유형별 채용 어려운 이유 - 장애아전담교사(특수교사 등),보육교직원 유형별 채용 어려운 이유 - 시간제보육교사,보육교직원 유형별 채용 어려운 이유 - 누리과정 보조교사,보육교직원 유형별 채용 어려운 이유 - 보조교사,민간보험 가입 여부 - 영유아 관련 종합 보험,민간보험 가입 여부 - 상해보험,민간보험 가입 여부 - 사고배상 책임보험,민간보험 가입 여부 - 자동차보험,민간보험 가입 여부 - 화재보험,민간보험 가입 여부 - 놀이터보험,민간보험 가입 여부 - 가스사고보험,민간보험 가입 여부 - 기타,영유아 대상 안전교육 실시 여부 - 교통안전,영유아 대상 안전교육 실시 여부 - 약물오남용,영유아 대상 안전교육 실시 여부 - 재난대비,영유아 대상 안전교육 실시 여부 - 성폭력/아동학대 예방,영유아 대상 안전교육 실시 여부 - 실종/유괴 예방방지,영유아 대상 안전교육 실시 횟수 - 교통안전,영유아 대상 안전교육 실시 횟수 - 약물오남용,영유아 대상 안전교육 실시 횟수 - 재난대비,영유아 대상 안전교육 실시 횟수 - 성폭력/아동학대 예방,영유아 대상 안전교육 실시 횟수 - 실종/유괴 예방방지,보육교사 대상 안전교육 실시 여부 - 아동학대예방,보육교사 대상 안전교육 실시 여부 - 안전관리,보육교사 대상 안전교육 실시 횟수 - 아동학대예방,보육교사 대상 안전교육 실시 횟수 - 안전관리,안전사고 발생장소(1순위),안전사고 발생장소(2순위),유형별 안전사고 발생 여부 - 부딪힘,유형별 안전사고 발생 여부 - 넘어짐,유형별 안전사고 발생 여부 - 끼임,유형별 안전사고 발생 여부 - 떨어짐,유형별 안전사고 발생 여부 - 이물질 삽입,유형별 안전사고 발생 여부 - 화상,유형별 안전사고 발생 여부 - 식중독/급식관련,유형별 안전사고 발생 여부 - 통학버스/교통사고,유형별 안전사고 발생 여부 - 원인미상,유형별 안전사고 발생 여부 - 기타,유형별 안전사고 발생 건수 - 부딪힘,유형별 안전사고 발생 건수 - 넘어짐,유형별 안전사고 발생 건수 - 끼임,유형별 안전사고 발생 건수 - 떨어짐,유형별 안전사고 발생 건수 - 이물질 삽입,유형별 안전사고 발생 건수 - 화상,유형별 안전사고 발생 건수 - 식중독/급식관련,유형별 안전사고 발생 건수 - 통학버스/교통사고,유형별 안전사고 발생 건수 - 원인미상,유형별 안전사고 발생 건수 - 기타,유형별 안전사고 발생 건수 총계,안전사고 원인별 발생 건수 - 유아 부주의,안전사고 원인별 발생 건수 - 시설물 하자,안전사고 원인별 발생 건수 - 종사자 부주의,안전사고 원인별 발생 건수 - 아동간 다툼,안전사고 원인별 발생 건수 - 기타,안전사고 원인별 발생 건수 총계,안전사고 대비 마련/실행 대책(복수응답1),안전사고 대비 마련/실행 대책(복수응답2),안전사고 대비 마련/실행 대책(복수응답3),안전사고 대비 마련/실행 대책(복수응답4),안전사고 대비 마련/실행 대책(복수응답5),어린이집 비상연락체계 구축 대상 기관(복수응답1),어린이집 비상연락체계 구축 대상 기관(복수응답2),어린이집 비상연락체계 구축 대상 기관(복수응답3),어린이집 비상연락체계 구축 대상 기관(복수응답4),어린이집 비상연락체계 구축 대상 기관(복수응답5),어린이집 비상연락체계 구축 대상 기관(복수응답6),어린이집 비상연락체계 구축 대상 기관(복수응답7),어린이집 비상연락체계 구축 대상 기관(복수응답8),어린이집 비상연락체계 구축 대상 기관(복수응답9),어린이집 비상연락체계 구축 대상 기관(복수응답10),CCTV 열람대장 비치 및 작성여부,CCTV 설치·운영 가이드라인 인지 여부,2017년 연간 학부모로부터의 CCTV 열람 신청 여부,2017년 연간 학부모로부터의 CCTV 열람 신청 횟수,CCTV 주된 열람 요청 사유,등·하원 차량 운행 여부,차량1: 등·하원 차량 소유형태,차량1: 어린이집 통학차량 운전자,차량1: 어린이집 통학차량 동승자(복수응답1),차량1: 어린이집 통학차량 동승자(복수응답2),차량1: 어린이집 통학차량 동승자(복수응답3),차량1: 어린이집 통학차량 동승자(복수응답4),차량1: 탑승하는 평균 아동 수,차량1: 어린이집 통학차량 월 평균 운행거리,차량2 :등·하원 차량 소유형태,차량2 :어린이집 통학차량 운전자,차량2: 어린이집 통학차량 동승자(복수응답1),차량2: 어린이집 통학차량 동승자(복수응답2),차량2: 어린이집 통학차량 동승자(복수응답3),차량2: 어린이집 통학차량 동승자(복수응답4),차량2 :탑승하는 평균 아동 수,차량2 :어린이집 통학차량 월 평균 운행거리,차량3 :등·하원 차량 소유형태,차량3 :어린이집 통학차량 운전자,차량3: 어린이집 통학차량 동승자(복수응답1),차량3: 어린이집 통학차량 동승자(복수응답2),차량3: 어린이집 통학차량 동승자(복수응답3),차량3: 어린이집 통학차량 동승자(복수응답4),차량3 :탑승하는 평균 아동 수,차량3 :어린이집 통학차량 월 평균 운행거리,차량4 :등·하원 차량 소유형태,차량4 :어린이집 통학차량 운전자,차량4: 어린이집 통학차량 동승자(복수응답1),차량4: 어린이집 통학차량 동승자(복수응답2)
K01601,3,2,2,3,,1,,3,,1,3,,,1,,2,2,,,,,,,2,,,,,,,1,2,3,4,6,11,16,17,,,,,,,,,,,1,2,7,9,,,,,,1,,,,,,1,2,,2,,,,,,,,,,,,,3,9,2,,,,,,,,,,,,,,,,8,9,4,1,7,30,19,30,2,,,,0,,0,1,2,5,2,,,,,,,,4,3,2,2,3,4,3,2,3,5,3,3,6,3,3,5,5,5,5,5,3,5,5,4,,,,,,1,,2,2,2,1,1,3,1,2,1,1,1,1,1,10,10,6,6,10,1,1,1,1,3,8,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,1,2,3,4,5,1,5,,,,,,,,,1,1,2,,,1,1,1,2,,,,12,1,,,,,,,,,,,,,,,,,,,,
K01602,1,2,4,1,6,,,3,,1,3,,,1,,3,,,,,,,,2,,,,,,,1,2,3,4,5,6,7,8,9,12,15,16,17,,,,,,1,2,,,,,,,,1,,,,,,1,2,,1,10,1,2,3,,,,2,1,1000,,2000,4,7,2,,,,,,,,,,,,,,,,8,2,8,1,7,30,22,0,1,1,2,2,0,,0,1,2,10,1,25,20,5,55,50,0,5,3,2,1,1,3,3,1,1,2,1,1,1,,3,3,1,5,5,4,5,1,1,5,2,,,,1,,,,1,1,1,3,1,1,1,2,1,1,1,1,1,48,48,48,48,48,1,1,40,2,1,3,1,1,1,1,2,2,2,2,2,2,10,10,5,5,,,,,,,30,20,0,0,10,,30,1,,,,,6,,,,,,,,,,1,1,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K01603,1,2,3,1,6,,,3,,1,3,,,1,,3,,,,,,,,2,,,,,,,1,3,4,5,6,7,15,16,17,,,,,,,,,,2,9,,,,,,,,1,,,,,,1,2,,1,4,1,2,,,,,2,1,1200,,0,7,5,2,,,,,,,,,,,,,,,,1,9,6,1,7,30,22,0,1,4,2,2,1,4,4,1,2,10,2,,,,,,,,4,3,2,2,3,3,3,2,3,1,2,5,3,3,4,3,1,1,1,1,1,1,4,4,4,,,,,,,1,1,1,3,1,1,1,2,1,1,1,1,1,12,10,12,8,9,1,1,2,1,1,3,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,1,2,3,4,5,1,2,5,6,,,,,,,1,1,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K01604,1,2,3,1,6,,,3,,1,3,,,1,,3,,,,,,,,2,,,,,,,1,2,3,4,5,6,13,15,17,,,,,,,,,,1,7,9,,,,,,,5,,,,,,1,2,,1,1,2,,,,,,1,1,,,2500,2,7,2,,,,,,,,,,,,,,,,12,,5,1,7,30,21,30,2,,,,0,,0,1,2,7,2,,,,,,,,4,2,2,2,4,3,3,3,3,5,3,7,,4,2,2,5,5,5,5,2,5,5,,,,,,,,,2,2,2,3,2,3,2,1,1,1,1,1,1,20,20,12,16,20,1,1,1,1,1,3,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,1,2,3,4,5,1,2,5,6,,,,,,,1,1,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K01605,1,2,4,1,6,,,3,,1,3,,,1,,3,,,,,,,,2,,,,,,,1,3,4,6,7,17,,,,,,,,,,,,,1,9,,,,,,,,5,,,,,,1,2,,1,1,1,,,,,,1,1,,,200,4,9,2,,,,,,,,,,,,,,,,9,2,9,0,7,30,19,30,1,4,2,1,0,,0,1,2,14,2,,,,,,,,2,1,1,1,3,2,1,1,2,1,1,3,1,2,2,5,5,5,3,2,2,2,,,,,,1,,,,1,1,1,3,1,1,1,2,1,1,1,1,1,15,24,38,14,24,1,1,2,2,1,5,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,1,2,3,4,5,1,2,5,6,,,,,,,1,1,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K01606,1,2,3,1,6,,,3,,1,3,,,1,,3,,,,,,,,2,,,,,,,1,3,4,5,6,7,11,13,16,17,19,,,,,,,,1,6,7,,,,,,,5,,,,,,1,2,,1,4,1,3,6,,,,2,1,1500,,0,10,2,2,,,,,,,,,,,,,,,,8,10,6,0,7,30,19,30,2,,,,0,,1,1,2,10,2,,,,,,,,2,2,1,1,2,3,2,2,2,5,4,3,2,2,3,2,5,5,5,5,3,3,,1,,,,,,3,3,1,2,2,3,1,1,1,2,1,1,1,1,1,11,9,6,11,10,1,1,2,2,1,8,1,1,1,2,2,2,2,2,2,2,1,1,1,,,,,,,,3,3,0,0,0,,3,1,2,3,4,5,1,2,3,4,5,6,7,7,7,,1,1,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K01607,6,2,3,5,,,3,3,,1,3,,,1,,3,,,,,,,,2,,,,,,,1,3,4,5,6,8,16,,,,,,,,,,,,1,2,6,7,,,,,,1,,,,,,1,2,,1,2,4,,,,,,1,1,,,999999,4,5,1,1,2,,,,,,,,,1,1,,,999999,1,2,4,1,7,30,19,30,2,,,,0,,4,1,2,10,2,,,,,,,,2,3,2,2,2,2,2,2,3,6,3,3,1,2,2,5,5,5,5,5,2,2,,,,,,,,,,1,1,1,3,1,1,3,2,1,1,1,1,1,6,4,2,2,4,1,1,2,3,1,5,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,1,2,3,4,5,1,2,5,6,7,,,,,,1,1,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K01608,6,2,2,5,,,4,3,,1,3,,,1,,3,,,,,,,,2,,,,,,,1,2,3,4,5,6,8,17,,,,,,,,,,,1,6,7,9,,,,,,3,,,10000,180,60,1,2,,1,3,1,2,3,,,,2,1,400,,600,10,,2,,,,,,,,,,,,,,,,11,,4,0,7,0,19,30,2,,,,0,,4,2,,,2,,,,,,,,1,3,2,2,2,2,2,2,2,10,1,1,6,1,1,2,5,5,5,5,5,5,,,,,,,,,,1,1,1,3,1,2,1,2,1,1,1,1,1,12,12,12,12,12,1,1,2,2,1,5,1,1,2,2,2,2,2,2,2,2,8,5,,,,,,,,,13,9,0,0,4,,13,1,2,3,5,,1,5,6,,,,,,,,1,2,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K01609,6,2,4,5,,,3,3,,1,3,,,1,,3,,,,,,,,2,,,,,,,1,3,4,5,6,7,8,10,11,14,16,17,,,,,,,1,2,4,6,7,9,,,,5,,,,,,7,2,,2,,,,,,,,,,,,,2,5,2,,,,,,,,,,,,,,,,4,8,5,2,7,30,21,0,2,,,,0,,2,2,,,2,,,,,,,,3,2,2,1,3,2,2,1,2,6,4,3,4,2,3,5,4,4,5,5,2,3,,5,,2,2,,,,5,1,1,1,3,1,1,1,2,1,1,1,1,1,6,8,3,5,5,1,1,2,3,5,7,2,1,2,2,2,2,2,2,2,1,,2,,,,,,,,1,3,2,0,0,1,,3,1,2,3,4,5,1,2,5,6,,,,,,,1,1,1,2,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K01610,4,2,2,4,,,,3,,1,2,,1,1,,1,,,,,,,,2,,,,,,,1,3,4,6,,,,,,,,,,,,,,,1,9,,,,,,,,1,,,,,,1,2,,2,,,,,,,,,,,,,9,,2,,,,,,,,,,,,,,,,2,8,3,1,7,30,19,0,2,,,,0,,2,1,2,10,2,,,,,,,,3,3,3,3,3,2,3,3,3,6,3,3,5,4,5,5,5,5,5,5,5,5,6,,,,,,,,,1,2,2,1,2,3,2,2,1,1,1,1,1,3,4,4,4,4,1,1,4,4,3,5,1,2,2,2,2,2,2,2,2,2,3,,,,,,,,,,3,3,0,0,0,,3,1,2,3,4,5,1,2,6,,,,,,,,1,1,1,2,3,1,1,1,1,2,,,4,2,,,,,,,,,,,,,,,,,,,,
K01611,4,2,3,4,,,,3,,1,1,1,,1,,1,,,,,,,,2,,,,,,,1,3,4,5,6,7,8,11,12,13,17,,,,,,,,1,9,,,,,,,,4,,,5000,170,5,1,1,9000,2,,,,,,,,,,,,,2,6,2,,,,,,,,,,,,,,,,1,8,6,1,7,30,19,30,2,,,,0,,0,2,,,2,,,,,,,,4,2,2,3,4,4,4,4,4,5,3,3,2,4,4,5,5,5,5,5,5,3,5,3,,,,,,,3,1,1,1,1,1,1,1,2,1,1,1,1,1,8,8,8,8,8,1,1,2,2,1,8,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,1,2,3,4,5,5,6,,,,,,,,,1,1,1,2,2,1,2,1,2,,,,12,1,,,,,,,,,,,,,,,,,,,,
K01612,5,2,1,6,,,,3,,1,2,,3,1,,1,,,,,,,,2,,,,,,,1,2,3,4,5,6,17,,,,,,,,,,,,1,6,9,,,,,,,1,,,,,,3,2,,1,2,1,2,,,,,1,1,,,999999,3,4,2,,,,,,,,,,,,,,,,4,8,4,0,7,20,19,0,2,,,,0,,0,2,,,1,0,0,0,1,0,0,1,3,3,2,2,3,4,4,4,3,6,3,3,1,4,3,5,5,5,5,5,5,2,5,2,,,,,,,,1,1,1,3,1,3,1,2,1,1,1,1,1,7,5,3,2,2,1,1,1,1,5,1,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,1,2,3,4,5,1,2,3,5,6,,,,,,1,1,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K01613,5,2,1,6,,,,3,,1,2,,2,1,,1,,,,,,,,2,,,,,,,1,2,3,4,5,6,11,17,,,,,,,,,,,1,2,6,,,,,,,1,,,,,,3,2,,2,,,,,,,,,,,,,2,4,2,,,,,,,,,,,,,,,,4,2,4,0,7,0,19,0,2,,,,0,,4,1,2,10,1,0,0,0,1,0,0,1,3,4,3,3,3,3,3,3,4,10,3,7,6,4,3,4,5,5,5,5,5,3,4,2,4,,,,,,4,1,1,1,3,1,3,3,2,1,1,1,1,1,6,6,5,6,6,1,1,2,1,5,1,1,1,2,2,2,2,2,2,2,2,2,2,,,,,,,,,4,2,0,0,2,,4,1,2,3,4,5,1,2,5,6,,,,,,,1,1,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K01614,5,2,1,6,,,,1,7,,,,,1,,1,,,,,,,,2,,,,,,,1,2,3,4,5,6,8,17,,,,,,,,,,,1,,,,,,,,,1,,,,,,1,2,,1,2,1,2,,,,,2,1,228,,528,1,2,2,,,,,,,,,,,,,,,,2,3,4,0,7,30,19,30,2,,,,0,,0,1,2,10,1,1,1,0,0,0,0,0,2,3,2,2,2,2,3,2,2,10,2,3,6,3,3,5,5,5,5,5,5,2,5,5,,,,,,,,2,1,1,3,1,2,2,2,1,1,1,1,1,11,8,10,6,7,1,1,2,1,5,1,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,1,2,3,4,5,1,2,3,5,6,,,,,,1,2,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K01615,4,2,3,4,,,,3,,1,1,3,,1,,1,,,,,,,,1,1,0,0,0,0,98,1,2,3,4,5,6,8,11,12,14,,,,,,,,,1,7,9,,,,,,,4,,,0,80,36,1,1,12500,1,1,1,,,,,,2,1,550,,550,2,4,2,,,,,,,,,,,,,,,,1,9,6,0,7,50,18,0,2,,,,0,,3,1,2,10,2,,,,,,,,3,1,1,1,1,3,4,2,2,10,3,7,,3,3,5,5,5,5,5,5,2,2,2,,,,,,,,1,1,1,1,1,1,1,2,1,1,1,1,1,6,4,2,2,4,1,1,2,2,1,5,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,1,2,3,,,1,2,3,5,6,,,,,,1,1,2,,,1,1,2,2,,,,4,2,,,,,,,,,,,,,,,,,,,,
K01616,4,2,2,4,,,,3,,1,1,4,,1,,2,1,1,0,1,0,0,0,2,,,,,,,1,3,4,5,6,11,14,16,17,,,,,,,,,,1,7,9,,,,,,,4,,,500,82,36,1,2,,1,3,1,2,3,4,,,1,1,,,1000,2,,1,1,8,,,,,,,,,1,1,,,1000,9,2,5,0,8,0,18,30,2,,,,0,,2,1,1,5,2,,,,,,,,3,2,2,2,3,3,1,2,2,3,1,3,1,2,2,5,5,5,5,5,5,5,,,,,,,,,,2,2,2,3,2,3,2,2,1,1,1,1,1,6,4,12,6,4,1,1,2,6,1,9,1,1,2,2,2,2,2,2,2,2,1,1,,,,,,,,,2,1,0,0,1,,2,1,2,3,5,,1,2,5,6,7,,,,,,1,1,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K01617,4,2,2,4,,,,1,1,,,,,1,,2,2,,,,,,,1,5,0,1,0,0,99,1,2,3,4,5,6,13,15,17,,,,,,,,,,1,2,9,,,,,,,1,,,,,,5,2,,1,99,1,,,,,,2,2,500,500,999999,4,,2,,,,,,,,,,,,,,,,4,5,4,0,7,30,19,30,2,,,,0,,0,1,2,7,2,,,,,,,,3,2,2,2,3,3,2,2,2,6,3,1,3,3,4,5,5,5,5,5,3,3,5,2,,,,,,2,2,1,1,1,1,1,3,1,2,1,1,1,1,1,10,10,10,10,10,1,1,10,4,1,2,1,1,2,2,1,2,2,2,2,1,3,4,,,1,,,,,,8,6,0,0,2,,8,1,2,3,5,,1,2,5,,,,,,,,1,1,2,,,1,1,2,2,,,,10,1,,,,,,,,,,,,,,,,,,,,
K01618,6,2,3,5,,,3,3,,1,3,,,1,,3,,,,,,,,2,,,,,,,1,3,4,5,6,8,10,11,16,17,,,,,,,,,1,2,7,,,,,,,1,,,,,,1,2,,1,7,1,,,,,,1,1,,,999999,2,6,2,,,,,,,,,,,,,,,,9,11,5,1,7,30,19,30,2,,,,0,,0,2,,,2,,,,,,,,3,1,1,1,3,3,2,2,2,1,1,3,1,3,4,5,5,5,5,5,5,4,2,2,,,,,,,4,1,2,2,3,2,2,2,2,1,1,1,1,1,7,5,6,3,5,1,1,2,4,1,3,1,1,2,2,2,2,2,2,2,2,3,1,,,,,,,,,4,4,0,0,0,,4,1,2,3,4,5,1,2,3,5,6,7,,,,,1,1,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K01619,5,2,1,6,,,,3,,1,1,1,,1,,1,,,,,,,,2,,,,,,,1,2,3,4,5,6,8,13,17,,,,,,,,,,1,7,9,,,,,,,1,,,,,,1,2,,1,1,1,,,,,,2,1,20,,20,4,2,2,,,,,,,,,,,,,,,,9,4,4,0,8,0,18,0,2,,,,0,,3,1,2,10,2,,,,,,,,3,2,2,2,2,4,3,2,2,6,3,3,4,3,2,5,5,5,5,5,5,2,4,,,,,,,,,1,2,2,3,1,2,1,2,1,1,1,1,1,3,4,3,4,4,1,1,5,1,3,1,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,1,2,3,4,5,1,2,6,,,,,,,,1,2,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K01620,5,2,1,6,,,,3,,1,1,1,,1,,2,2,,,,,,,2,,,,,,,1,2,3,4,5,6,,,,,,,,,,,,,1,2,6,7,9,,,,,1,,,,,,7,2,,2,,,,,,,,,,,,,4,,2,,,,,,,,,,,,,,,,3,8,4,0,7,30,19,30,2,,,,0,,2,1,1,5,2,,,,,,,,3,2,2,2,2,4,3,2,2,8,3,3,1,2,2,5,5,5,5,5,5,2,,,,,,,,,,1,1,1,3,1,3,1,2,1,1,1,1,1,96,96,96,96,96,1,1,4,4,5,1,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,1,2,3,4,5,1,2,3,5,,,,,,,1,1,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K01621,5,2,1,6,,,,3,,1,2,,2,1,,1,,,,,,,,2,,,,,,,1,2,3,4,5,6,8,,,,,,,,,,,,1,,,,,,,,,4,,,10000,50,48,4,2,,2,,,,,,,,,,,,,5,10,2,,,,,,,,,,,,,,,,2,3,4,0,7,40,19,30,2,,,,0,,0,2,,,1,1,1,0,0,0,0,0,2,3,1,1,2,4,4,1,2,1,3,1,3,1,4,5,5,5,5,5,5,1,,3,,,,,,,,1,2,2,3,1,2,3,2,1,1,1,1,1,,,,,,1,1,4,4,5,,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,1,2,3,4,5,5,,,,,,,,,,1,2,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
